Chance.of.Admit,GRE.Score,TOEFL.Score,CGPA.Score
0.92,337,118,9.65
0.76,324,107,8.87
0.72,316,104,8
0.8,322,110,8.67
0.65,314,103,8.21
0.9,330,115,9.34
0.75,321,109,8.2
0.68,308,101,7.9
0.5,302,102,8
0.45,323,108,8.6
0.52,325,106,8.4
0.84,327,111,9
0.78,328,112,9.1
0.62,307,109,8
0.61,311,104,8.2
0.54,314,105,8.3
0.66,317,107,8.7
0.65,319,106,8
0.63,318,110,8.8
0.62,303,102,8.5
0.64,312,107,7.9
0.7,325,114,8.4
0.94,328,116,9.5
0.95,334,119,9.7
0.97,336,119,9.8
0.94,340,120,9.6
0.76,322,109,8.8
0.44,298,98,7.5
0.46,295,93,7.2
0.54,310,99,7.3
0.65,300,97,8.1
0.74,327,103,8.3
0.91,338,118,9.4
0.9,340,114,9.6
0.94,331,112,9.8
0.88,320,110,9.2
0.64,299,106,8.4
0.58,300,105,7.8
0.52,304,105,7.5
0.48,307,108,7.7
0.46,308,110,8
0.49,316,105,8.2
0.53,313,107,8.5
0.87,332,117,9.1
0.91,326,113,9.4
0.88,322,110,9.1
0.86,329,114,9.3
0.89,339,119,9.7
0.82,321,110,8.85
0.78,327,111,8.4
0.76,313,98,8.3
0.56,312,100,7.9
0.78,334,116,8
0.72,324,112,8.1
0.7,322,110,8
0.64,320,103,7.7
0.64,316,102,7.4
0.46,298,99,7.6
0.36,300,99,6.8
0.42,311,104,8.3
0.48,309,100,8.1
0.47,307,101,8.2
0.54,304,105,8.2
0.56,315,107,8.5
0.52,325,111,8.7
0.55,325,112,8.92
0.61,327,114,9.02
0.57,316,107,8.64
0.68,318,109,9.22
0.78,328,115,9.16
0.94,332,118,9.64
0.96,336,112,9.76
0.93,321,111,9.45
0.84,314,108,9.04
0.74,314,106,8.9
0.72,329,114,8.56
0.74,327,112,8.72
0.64,301,99,8.22
0.44,296,95,7.54
0.46,294,93,7.36
0.5,312,105,8.02
0.96,340,120,9.5
0.92,320,110,9.22
0.92,322,115,9.36
0.94,340,115,9.45
0.76,319,103,8.66
